PR,PK,Resistivity,Polarization
2.0,1050.0,229.855186595292,0.335653384262184
2.0,1055.0,252.475809605945,0.237587269283019
2.0,1060.0,201.06017901357,0.278906191928276
2.0,1065.0,185.798132386083,0.655603154583319
2.0,1070.0,166.928030599221,0.618175196491841
2.0,1075.0,146.780138104083,0.645266136087829
2.0,1080.0,161.687551599088,0.504029437736183
2.0,1085.0,172.559335700297,0.616828339150818
2.0,1090.0,249.810274090311,0.663313699699606
2.0,1095.0,260.055921448095,0.690127173596303
2.0,1100.0,240.856807890701,0.627248660672819
2.0,1105.0,178.013699823008,0.580421117605228
2.0,1110.0,162.484988308679,0.595003814111665
2.0,1115.0,181.988867195324,0.549998858155461
2.0,1120.0,216.450909699356,0.580486668838658
2.0,1125.0,236.071049953961,0.642607307673811
2.0,1130.0,237.389836459441,0.644602925965507
2.0,1135.0,210.358073789272,0.627305520495688
2.0,1140.0,199.748464171752,0.554490580256855
2.0,1145.0,209.456072612305,0.605812560901055
2.0,1150.0,184.837795275719,0.581592427699262
2.0,1155.0,164.013709184594,0.53052718424009
2.0,1160.0,141.74177655413,0.496036559720714
2.0,1165.0,106.133196818262,0.405604185584019
2.0,1170.0,123.639465800593,0.58407161796072
2.0,1175.0,116.370457493761,0.553522496929847
2.0,1180.0,121.621305365656,0.534324830380926
2.0,1185.0,120.785089767877,0.4682343119757
2.0,1190.0,144.569624990449,0.528981101088727
2.0,1195.0,198.47462457228,0.703244749285431
2.0,1200.0,204.200709278073,0.817575184349357
2.0,1205.0,137.671295322436,0.724743011026054
2.0,1210.0,103.430614009004,0.442230723019416
2.0,1215.0,110.595430635328,0.424814342538661
2.0,1220.0,102.081264732083,0.138219924085942
2.0,1225.0,95.3581523607776,0.1907772301313
2.0,1230.0,103.249507131673,0.234003793518607
2.0,1235.0,103.430130825358,0.254046000337492
2.0,1240.0,86.0591335614071,0.376934084691222
2.0,1245.0,82.5679305443204,0.378138544325402
2.0,1250.0,142.413335212775,0.459842523832024
2.0,1255.0,146.672722293137,0.472945617092534
2.0,1260.0,120.067563183721,0.459135150046194
2.0,1265.0,91.4465105023922,0.43872479994954
2.0,1270.0,118.170410098929,0.410666107771726
2.0,1275.0,100.233717082148,0.391835610033932
4.0,1050.0,171.131593417823,0.67420661372011
4.0,1055.0,148.116079636406,0.567807150268202
4.0,1060.0,150.300101741076,0.618167861829648
4.0,1065.0,122.655818775491,0.5736073132279
4.0,1070.0,156.774307088402,0.661980184472426
4.0,1075.0,240.723785901549,0.694206215750652
4.0,1080.0,239.941729823645,0.698756945032107
4.0,1085.0,195.545659110167,0.641518563440079
4.0,1090.0,225.594066679801,0.571667122530406
4.0,1095.0,202.495622839373,0.612396129987282
4.0,1100.0,197.898077908649,0.591969719515339
4.0,1105.0,225.879936450007,0.642156117174513
4.0,1110.0,215.17437454389,0.607944055041455
4.0,1115.0,235.615446461287,0.676324161057648
4.0,1120.0,219.330304051074,0.723584370098593
4.0,1125.0,174.246866507948,0.585811278607479
4.0,1130.0,185.432720323553,0.614031346591364
4.0,1135.0,196.58100693594,0.484532603687108
4.0,1140.0,190.995763613406,0.648208886991157
4.0,1145.0,196.665015943841,0.587133837708586
4.0,1150.0,187.616170103586,0.618957327975226
4.0,1155.0,164.568048061453,0.643538976793367
4.0,1160.0,139.338474304325,0.638001900032837
4.0,1165.0,102.738474024442,0.587307474507963
4.0,1170.0,104.874305964601,0.481919205355401
4.0,1175.0,115.351191559758,0.555889996416054
4.0,1180.0,158.331395746028,0.608600705973136
4.0,1185.0,214.427416668408,0.654886646591949
4.0,1190.0,209.951852772106,0.677617149008873
4.0,1195.0,147.468900763999,0.582733540114681
4.0,1200.0,120.097301148029,0.571020656644356
4.0,1205.0,123.773649607119,0.617124398913788
