PR,PK,Longitude,Latitude
6,1090,20514675.8384408,5524132.4068056
6,1095,20514706.6211838,5524093.00638959
6,1100,20514737.4039268,5524053.60597359
6,1105,20514768.1866698,5524014.20555759
6,1110,20514798.9694128,5523974.80514159
6,1115,20514829.7521558,5523935.40472559
6,1120,20514860.5348988,5523896.00430959
6,1125,20514891.3176418,5523856.60389359
6,1130,20514922.1003847,5523817.2034776
6,1135,20514952.8831277,5523777.80306161
6,1140,20514983.6658707,5523738.40264561
6,1145,20515014.4486136,5523699.00222962
6,1150,20515045.2313566,5523659.60181363
6,1155,20515076.0140995,5523620.20139765
6,1160,20515106.7968425,5523580.80098166
6,1165,20515137.5795854,5523541.40056567
6,1170,20515168.3623284,5523502.00014968
6,1175,20515199.1450713,5523462.5997337
6,1180,20515229.9278143,5523423.19931772
6,1185,20515260.7105572,5523383.79890174
6,1190,20515291.4933001,5523344.39848576
6,1195,20515322.2760431,5523304.99806978
6,1200,20515353.058786,5523265.5976538
6,1205,20515383.8415289,5523226.19723783
6,1210,20515414.6242718,5523186.79682186
6,1215,20515445.4070148,5523147.39640588
6,1220,20515476.1897577,5523107.99598991
6,1225,20515506.9725006,5523068.59557394
6,1230,20515537.7552435,5523029.19515797
6,1235,20515568.5379864,5522989.79474201
6,1240,20515599.3207293,5522950.39432604
6,1245,20515630.1034722,5522910.99391007
6,1250,20515660.8862151,5522871.59349411
6,1255,20515691.668958,5522832.19307815
6,1260,20515722.4517009,5522792.79266219
6,1265,20515753.2344438,5522753.39224623
6,1270,20515784.0171866,5522713.99183027
6,1275,20515814.7999295,5522674.59141432
6,1280,20515845.5826724,5522635.19099836
6,1285,20515876.3654153,5522595.7905824
6,1290,20515907.1481581,5522556.39016645
6,1295,20515937.930901,5522516.9897505
6,1300,20515968.7136439,5522477.58933455
6,1305,20515999.4963867,5522438.1889186
6,1310,20516030.2791295,5522398.78850265
8,1045,20514556.3954203,5524610.14151978
8,1050,20514587.1781634,5524570.74110375
8,1055,20514617.9609065,5524531.34068772
8,1060,20514648.7436495,5524491.94027169
8,1065,20514679.5263925,5524452.53985567
8,1070,20514710.3091355,5524413.13943965
8,1075,20514741.0918785,5524373.73902362
8,1080,20514771.8746215,5524334.3386076
8,1085,20514802.6573645,5524294.93819158
8,1090,20514833.4401075,5524255.53777556
8,1095,20514864.2228505,5524216.13735954
8,1100,20514895.0055935,5524176.73694353
8,1105,20514925.7883365,5524137.33652751
8,1110,20514956.5710794,5524097.9361115
8,1115,20514987.3538224,5524058.53569548
8,1120,20515018.1365654,5524019.13527948
8,1125,20515048.9193084,5523979.73486346
8,1130,20515079.7020513,5523940.33444746
8,1135,20515110.4847943,5523900.93403145
8,1140,20515141.2675373,5523861.53361544
8,1145,20515172.0502802,5523822.13319944
8,1150,20515202.8330232,5523782.73278343
8,1155,20515233.6157661,5523743.33236743
8,1160,20515264.3985091,5523703.93195144
8,1165,20515295.181252,5523664.53153543
8,1170,20515325.9639949,5523625.13111944
8,1175,20515356.7467379,5523585.73070344
8,1180,20515387.5294808,5523546.33028745
8,1185,20515418.3122238,5523506.92987145
8,1190,20515449.0949667,5523467.52945546
8,1195,20515479.8777096,5523428.12903946
8,1200,20515510.6604525,5523388.72862348
8,1205,20515541.4431954,5523349.32820749
8,1210,20515572.2259384,5523309.9277915
8,1215,20515603.0086813,5523270.52737551
8,1220,20515633.7914242,5523231.12695953
8,1225,20515664.5741671,5523191.72654355
8,1230,20515695.35691,5523152.32612756
8,1235,20515726.1396529,5523112.92571159
8,1240,20515756.9223958,5523073.52529561
8,1245,20515787.7051387,5523034.12487963
8,1250,20515818.4878816,5522994.72446365
8,1255,20515849.2706245,5522955.32404767
8,1260,20515880.0533673,5522915.9236317
8,1265,20515910.8361102,5522876.52321573
8,1270,20515941.6188531,5522837.12279976
8,1275,20515972.401596,5522797.72238379
8,1280,20516003.1843388,5522758.32196782
8,1285,20516033.9670817,5522718.92155185
8,1290,20516064.7498246,5522679.52113589
8,1295,20516095.5325674,5522640.12071992
8,1300,20516126.3153103,5522600.72030396
8,1305,20516157.0980531,5522561.319888
8,1310,20516187.880796,5522521.91947204
8,1315,20516218.6635388,5522482.51905608
8,1320,20516249.4462817,5522443.11864012
8,1325,20516280.2290246,5522403.71822416
10,1045,20514713.9970872,5524733.27248985
10,1050,20514744.7798302,5524693.8720738
10,1055,20514775.5625732,5524654.47165775
10,1060,20514806.3453162,5524615.07124172
10,1065,20514837.1280592,5524575.67082567
10,1070,20514867.9108022,5524536.27040964
10,1075,20514898.6935452,5524496.8699936
10,1080,20514929.4762882,5524457.46957756
10,1085,20514960.2590312,5524418.06916153
10,1090,20514991.0417742,5524378.6687455
10,1095,20515021.8245172,5524339.26832947
10,1100,20515052.6072601,5524299.86791344
10,1105,20515083.3900031,5524260.46749741
10,1110,20515114.1727461,5524221.06708139
10,1115,20515144.9554891,5524181.66666536
10,1120,20515175.738232,5524142.26624934
10,1125,20515206.520975,5524102.86583331
10,1130,20515237.303718,5524063.46541729
10,1135,20515268.0864609,5524024.06500127
10,1140,20515298.8692039,5523984.66458525
10,1145,20515329.6519468,5523945.26416923
10,1150,20515360.4346898,5523905.86375322
10,1155,20515391.2174327,5523866.4633372
10,1160,20515422.0001757,5523827.06292119
10,1165,20515452.7829186,5523787.66250518
10,1170,20515483.5656616,5523748.26208917
10,1175,20515514.3484045,5523708.86167315
10,1180,20515545.1311474,5523669.46125715
10,1185,20515575.9138903,5523630.06084114
10,1190,20515606.6966333,5523590.66042514
10,1195,20515637.4793762,5523551.26000913
10,1200,20515668.2621191,5523511.85959313
10,1205,20515699.044862,5523472.45917713
10,1210,20515729.8276049,5523433.05876113
10,1215,20515760.6103478,5523393.65834512
10,1220,20515791.3930907,5523354.25792913
10,1225,20515822.1758336,5523314.85751313
10,1230,20515852.9585765,5523275.45709714
10,1235,20515883.7413194,5523236.05668114
10,1240,20515914.5240623,5523196.65626515
10,1245,20515945.3068052,5523157.25584916
10,1250,20515976.0895481,5523117.85543317
10,1255,20516006.872291,5523078.45501718
10,1260,20516037.6550339,5523039.0546012
10,1265,20516068.4377767,5522999.65418521
10,1270,20516099.2205196,5522960.25376923
10,1275,20516130.0032625,5522920.85335324
10,1280,20516160.7860053,5522881.45293726
10,1285,20516191.5687482,5522842.05252128
10,1290,20516222.3514911,5522802.6521053
10,1295,20516253.1342339,5522763.25168932
10,1300,20516283.9169768,5522723.85127334
10,1305,20516314.6997196,5522684.45085737
10,1310,20516345.4824624,5522645.0504414
10,1315,20516376.2652053,5522605.65002542
10,1320,20516407.0479481,5522566.24960946
10,1325,20516437.830691,5522526.84919349
10,1330,20516468.6134338,5522487.44877751
10,1335,20516499.3961766,5522448.04836155
10,1340,20516530.1789194,5522408.64794559
12,1045,20514871.598754,5524856.40345987
12,1050,20514902.381497,5524817.00304382
12,1055,20514933.16424,5524777.60262777
12,1060,20514963.946983,5524738.20221171
12,1065,20514994.729726,5524698.80179566
12,1070,20515025.512469,5524659.40137961
12,1075,20515056.295212,5524620.00096356
12,1080,20515087.077955,5524580.60054751
12,1085,20515117.8606979,5524541.20013147
12,1090,20515148.6434409,5524501.79971542
12,1095,20515179.4261839,5524462.39929937
12,1100,20515210.2089269,5524422.99888334
12,1105,20515240.9916699,5524383.5984673
12,1110,20515271.7744128,5524344.19805126
12,1115,20515302.5571558,5524304.79763521
12,1120,20515333.3398988,5524265.39721918
12,1125,20515364.1226417,5524225.99680314
12,1130,20515394.9053847,5524186.59638711
12,1135,20515425.6881276,5524147.19597107
12,1140,20515456.4708706,5524107.79555504
12,1145,20515487.2536135,5524068.39513901
12,1150,20515518.0363565,5524028.99472298
12,1155,20515548.8190994,5523989.59430695
12,1160,20515579.6018424,5523950.19389093
12,1165,20515610.3845853,5523910.7934749
12,1170,20515641.1673282,5523871.39305888
12,1175,20515671.9500712,5523831.99264285
12,1180,20515702.7328141,5523792.59222683
12,1185,20515733.515557,5523753.19181081
12,1190,20515764.2982999,5523713.79139479
12,1195,20515795.0810428,5523674.39097878
12,1200,20515825.8637857,5523634.99056276
12,1205,20515856.6465287,5523595.59014675
12,1210,20515887.4292716,5523556.18973073
12,1215,20515918.2120145,5523516.78931472
12,1220,20515948.9947574,5523477.38889871
12,1225,20515979.7775002,5523437.9884827
12,1230,20516010.5602431,5523398.58806669
12,1235,20516041.342986,5523359.18765069
12,1240,20516072.1257289,5523319.78723468
12,1245,20516102.9084718,5523280.38681868
12,1250,20516133.6912147,5523240.98640267
12,1255,20516164.4739576,5523201.58598667
12,1260,20516195.2567004,5523162.18557067
12,1265,20516226.0394433,5523122.78515467
12,1270,20516256.8221862,5523083.38473867
12,1275,20516287.604929,5523043.98432268
12,1280,20516318.3876719,5523004.58390668
12,1285,20516349.1704147,5522965.18349069
12,1290,20516379.9531576,5522925.7830747
12,1295,20516410.7359004,5522886.38265871
12,1300,20516441.5186433,5522846.98224272
12,1305,20516472.3013861,5522807.58182673
12,1310,20516503.084129,5522768.18141074
12,1315,20516533.8668718,5522728.78099476
12,1320,20516564.6496146,5522689.38057878
12,1325,20516595.4323575,5522649.98016279
12,1330,20516626.2151003,5522610.57974681
12,1335,20516656.9978431,5522571.17933083
12,1340,20516687.7805859,5522531.77891485
12,1345,20516718.5633287,5522492.37849887
12,1350,20516749.3460716,5522452.97808289
12,1355,20516780.1288145,5522413.57766691
14,955,20514475.1110461,5525688.74191936
14,960,20514505.8937892,5525649.34150327
14,965,20514536.6765323,5525609.94108718
14,970,20514567.4592753,5525570.54067109
14,975,20514598.2420184,5525531.140255
14,980,20514629.0247614,5525491.73983891
14,985,20514659.8075045,5525452.33942283
14,990,20514690.5902475,5525412.93900674
14,995,20514721.3729906,5525373.53859066
14,1000,20514752.1557336,5525334.13817458
14,1005,20514782.9384766,5525294.73775849
14,1010,20514813.7212197,5525255.33734242
14,1015,20514844.5039627,5525215.93692633
14,1020,20514875.2867057,5525176.53651026
14,1025,20514906.0694488,5525137.13609418
14,1030,20514936.8521918,5525097.73567811
14,1035,20514967.6349348,5525058.33526203
14,1040,20514998.4176778,5525018.93484596
14,1045,20515029.2004208,5524979.53442989
14,1050,20515059.9831638,5524940.13401382
14,1055,20515090.7659068,5524900.73359776
14,1060,20515121.5486498,5524861.33318169
14,1065,20515152.3313928,5524821.93276563
14,1070,20515183.1141358,5524782.53234956
14,1075,20515213.8968788,5524743.1319335
14,1080,20515244.6796218,5524703.73151744
14,1085,20515275.4623648,5524664.33110138
14,1090,20515306.2451077,5524624.93068532
14,1095,20515337.0278507,5524585.53026926
14,1100,20515367.8105937,5524546.12985321
14,1105,20515398.5933366,5524506.72943715
14,1110,20515429.3760796,5524467.3290211
14,1115,20515460.1588226,5524427.92860505
14,1120,20515490.9415655,5524388.528189
14,1125,20515521.7243085,5524349.12777295
14,1130,20515552.5070514,5524309.7273569
14,1135,20515583.2897944,5524270.32694085
14,1140,20515614.0725373,5524230.92652481
14,1145,20515644.8552803,5524191.52610876
14,1150,20515675.6380232,5524152.12569273
14,1155,20515706.4207662,5524112.72527668
14,1160,20515737.2035091,5524073.32486064
14,1165,20515767.986252,5524033.9244446
14,1170,20515798.7689949,5523994.52402857
14,1175,20515829.5517379,5523955.12361253
14,1180,20515860.3344808,5523915.7231965
14,1185,20515891.1172237,5523876.32278046
14,1190,20515921.8999666,5523836.92236443
14,1195,20515952.6827095,5523797.5219484
14,1200,20515983.4654524,5523758.12153237
14,1205,20516014.2481953,5523718.72111634
14,1210,20516045.0309382,5523679.32070031
14,1215,20516075.8136811,5523639.9202843
14,1220,20516106.596424,5523600.51986827
14,1225,20516137.3791669,5523561.11945225
14,1230,20516168.1619098,5523521.71903622
14,1235,20516198.9446527,5523482.3186202
14,1240,20516229.7273956,5523442.91820418
14,1245,20516260.5101384,5523403.51778817
14,1250,20516291.2928813,5523364.11737215
14,1255,20516322.0756242,5523324.71695614
14,1260,20516352.858367,5523285.31654012
14,1265,20516383.6411099,5523245.91612411
14,1270,20516414.4238528,5523206.5157081
14,1275,20516445.2065956,5523167.11529209
14,1280,20516475.9893385,5523127.71487608
14,1285,20516506.7720813,5523088.31446008
14,1290,20516537.5548242,5523048.91404407
14,1295,20516568.337567,5523009.51362807
