PR,PK,Longitude,Latitude
86.0,1005.0,20520455.924014,5529728.150181
86.0,1010.0,20520486.606847,5529689.226096
86.0,1015.0,20520517.869561,5529649.080894
86.0,1020.0,20520548.986068,5529609.713909
86.0,1025.0,20520579.16604,5529571.122111
86.0,905.0,20519841.705706,5530521.289229
86.0,995.0,20520393.54193,5529811.069785
88.0,970.0,20520397.790771,5530128.238258
88.0,965.0,20520367.469405,5530167.386681
88.0,960.0,20520335.71129,5530206.641064
88.0,955.0,20520305.032885,5530245.454803
88.0,950.0,20520275.285027,5530285.27328
88.0,945.0,20520244.459638,5530325.199087
88.0,935.0,20520182.529152,5530403.381762
86.0,1030.0,20520610.283016,5529531.866709
88.0,1025.0,20520736.760357,5529693.188701
88.0,1030.0,20520767.515126,5529654.822623
88.0,1035.0,20520797.270941,5529614.784436
88.0,1040.0,20520827.813632,5529575.750513
88.0,1045.0,20520859.221089,5529536.16398
88.0,1050.0,20520889.839978,5529496.240881
88.0,1055.0,20520921.031075,5529457.098778
88.0,1060.0,20520951.934362,5529418.178189
86.0,1060.0,20520795.707949,5529294.553475
88.0,1065.0,20520982.987437,5529377.8124
86.0,1065.0,20520825.029229,5529255.95973
86.0,1055.0,20520764.732818,5529333.585901
86.0,1050.0,20520734.902148,5529374.068882
86.0,1045.0,20520703.42754,5529412.432366
88.0,930.0,20520151.274946,5530443.084036
88.0,925.0,20520119.881279,5530481.784917
88.0,920.0,20520089.777748,5530521.380628
88.0,915.0,20520058.453073,5530561.083176
88.0,910.0,20520028.279846,5530600.345287
88.0,905.0,20519997.245895,5530639.381906
88.0,900.0,20519966.712322,5530679.19916
88.0,895.0,20519935.031135,5530718.678644
88.0,940.0,20520211.627057,5530364.116469
88.0,995.0,20520551.99774,5529930.617768
88.0,1000.0,20520582.75368,5529891.249591
88.0,1005.0,20520613.728583,5529851.103833
88.0,1010.0,20520643.486024,5529810.063754
88.0,1015.0,20520674.023933,5529771.69631
88.0,1020.0,20520706.216417,5529732.890502
86.0,1040.0,20520671.589859,5529451.906915
88.0,990.0,20520522.322419,5529969.32288
88.0,985.0,20520490.05828,5530008.796879
88.0,980.0,20520460.310298,5530047.946967
88.0,975.0,20520428.979731,5530087.758569
74.0,970.0,20519294.121425,5529264.038072
74.0,975.0,20519326.022699,5529224.333217
74.0,980.0,20519358.41779,5529187.299791
74.0,985.0,20519387.16049,5529147.027784
74.0,990.0,20519417.270029,5529106.427185
74.0,995.0,20519448.666944,5529067.611054
74.0,1000.0,20519479.849555,5529028.571874
74.0,1005.0,20519511.319631,5528989.645145
74.0,1010.0,20519539.993474,5528949.151247
74.0,1015.0,20519570.244115,5528909.886746
74.0,1020.0,20519603.302452,5528869.297924
74.0,1025.0,20519634.555525,5528831.260943
74.0,1030.0,20519664.448227,5528791.995663
74.0,1035.0,20519695.134651,5528751.954863
74.0,1040.0,20519725.605139,5528712.135902
74.0,1045.0,20519755.929905,5528672.983942
74.0,1050.0,20519787.479994,5528632.946842
74.0,1055.0,20519818.449521,5528594.5762
74.0,1060.0,20519848.847069,5528555.536258
74.0,1065.0,20519882.478384,5528516.619674
76.0,1065.0,20520039.253448,5528639.663359
76.0,1060.0,20520007.778756,5528678.253317
76.0,1055.0,20519975.943157,5528717.398256
76.0,1050.0,20519945.833015,5528756.438556
76.0,1045.0,20519915.07577,5528795.699083
76.0,1040.0,20519883.814742,5528835.291603
76.0,1035.0,20519853.127787,5528875.220109
76.0,1030.0,20519823.448904,5528914.707595
76.0,1025.0,20519791.900177,5528954.744498
76.0,1020.0,20519761.941712,5528992.340425
76.0,1015.0,20519730.109744,5529031.486827
76.0,1010.0,20519699.424631,5529071.52744
76.0,1005.0,20519668.383558,5529110.788333
76.0,1000.0,20519637.843463,5529150.7186
76.0,995.0,20519608.599589,5529189.986403
74.0,900.0,20518864.894038,5529818.636357
76.0,985.0,20519545.659173,5529268.283835
76.0,980.0,20519514.473011,5529308.546134
76.0,975.0,20519483.725672,5529346.808107
76.0,970.0,20519453.181834,5529388.519049
78.0,990.0,20519734.1021,5529353.171818
78.0,975.0,20519641.343522,5529470.95579
78.0,980.0,20519672.954286,5529432.475413
78.0,985.0,20519703.494695,5529392.100426
78.0,970.0,20519610.446003,5529510.996143
78.0,995.0,20519765.066744,5529314.912064
78.0,1000.0,20519795.535425,5529274.871017
78.0,1005.0,20519824.916943,5529237.495597
78.0,1010.0,20519857.189785,5529195.570684
78.0,1015.0,20519886.864096,5529156.973178
78.0,1020.0,20519915.822776,5529117.705818
78.0,1025.0,20519949.527501,5529077.566405
78.0,1030.0,20519980.215276,5529037.30476
78.0,1035.0,20520010.827099,5528998.266511
78.0,1040.0,20520041.657002,5528958.67311
78.0,1045.0,20520071.836089,5528920.300959
78.0,1050.0,20520102.596276,5528880.373963
78.0,1055.0,20520133.208622,5528841.670093
78.0,1060.0,20520164.977795,5528801.191093
78.0,1065.0,20520195.443142,5528763.599301
74.0,895.0,20518832.772015,5529855.467043
74.0,905.0,20518897.701381,5529778.725489
74.0,910.0,20518924.645699,5529737.221185
74.0,915.0,20518956.826097,5529698.293723
74.0,920.0,20518987.501739,5529658.360086
74.0,925.0,20519018.032174,5529618.982248
74.0,930.0,20519049.426396,5529579.273962
74.0,935.0,20519079.022531,5529540.226841
74.0,940.0,20519109.268096,5529500.514825
74.0,945.0,20519142.600014,5529461.815021
74.0,950.0,20519172.562265,5529421.212531
74.0,955.0,20519203.094991,5529381.946977
74.0,960.0,20519232.980319,5529343.012961
74.0,965.0,20519265.095032,5529303.642193
76.0,990.0,20519577.485573,5529229.914918
76.0,965.0,20519420.782059,5529426.997854
76.0,960.0,20519391.615513,5529465.599748
76.0,955.0,20519360.076006,5529504.860616
76.0,950.0,20519330.905913,5529544.68633
76.0,945.0,20519298.365451,5529582.831682
76.0,940.0,20519267.472326,5529622.540323
76.0,935.0,20519238.084032,5529663.478034
76.0,930.0,20519207.341862,5529701.407918
76.0,925.0,20519174.378104,5529737.884089
76.0,920.0,20519145.918773,5529780.60526
76.0,915.0,20519113.233396,5529819.863489
76.0,910.0,20519084.496299,5529860.136987
76.0,905.0,20519052.248425,5529897.839952
76.0,900.0,20519022.579041,5529937.88802
