PR,PK,Longitude,Latitude
26,615,20513325.0162,5529108.16633
26,620,20513355.7989,5529068.76591
26,625,20513386.5816,5529029.36549
26,630,20513417.3644,5528989.96507
26,635,20513448.1471,5528950.56465
26,640,20513478.9298,5528911.16423
26,645,20513509.7126,5528871.76381
26,650,20513540.4953,5528832.36339
26,655,20513571.278,5528792.96297
26,660,20513602.0608,5528753.56255
26,665,20513632.8435,5528714.16213
26,670,20513663.6262,5528674.76171
26,675,20513694.409,5528635.3613
26,680,20513725.1917,5528595.96088
26,685,20513755.9744,5528556.56046
26,690,20513786.7572,5528517.16004
26,695,20513817.5399,5528477.75962
26,700,20513848.3226,5528438.3592
26,705,20513879.1054,5528398.95878
26,710,20513909.8881,5528359.55836
26,715,20513940.6708,5528320.15794
26,720,20513971.4536,5528280.75752
26,725,20514002.2363,5528241.3571
26,730,20514033.019,5528201.95668
26,735,20514063.8018,5528162.55626
26,740,20514094.5845,5528123.15584
26,745,20514125.3672,5528083.75542
26,750,20514156.15,5528044.355
26,755,20514186.9327,5528004.95458
26,760,20514217.7154,5527965.55416
26,765,20514248.4982,5527926.15374
26,770,20514279.2809,5527886.75332
26,775,20514310.0636,5527847.3529
26,780,20514340.8464,5527807.95248
26,785,20514371.6291,5527768.55206
26,790,20514402.4118,5527729.15164
26,795,20514433.1946,5527689.75123
26,800,20514463.9773,5527650.35081
26,805,20514494.76,5527610.95039
26,810,20514525.5428,5527571.54997
26,815,20514556.3255,5527532.14955
26,820,20514587.1082,5527492.74913
26,825,20514617.891,5527453.34871
26,830,20514648.6737,5527413.94829
26,835,20514679.4564,5527374.54787
26,840,20514710.2392,5527335.14745
26,845,20514741.0219,5527295.74703
26,850,20514771.8046,5527256.34661
26,855,20514802.5873,5527216.94619
26,860,20514833.3701,5527177.54577
26,865,20514864.1528,5527138.14535
26,870,20514894.9355,5527098.74493
26,875,20514925.7183,5527059.34451
26,880,20514956.501,5527019.94409
26,885,20514987.2837,5526980.54367
26,890,20515018.0665,5526941.14325
26,895,20515048.8492,5526901.74283
26,900,20515079.6319,5526862.34241
26,905,20515110.4147,5526822.942
26,910,20515141.1974,5526783.54158
26,915,20515171.9801,5526744.14116
26,920,20515202.7629,5526704.74074
26,925,20515233.5456,5526665.34032
26,930,20515264.3283,5526625.9399
26,935,20515295.1111,5526586.53948
26,940,20515325.8938,5526547.13906
26,945,20515356.6765,5526507.73864
26,950,20515387.4593,5526468.33822
26,955,20515418.242,5526428.9378
26,960,20515449.0247,5526389.53738
26,965,20515479.8075,5526350.13696
26,970,20515510.5902,5526310.73654
26,975,20515541.3729,5526271.33612
26,980,20515572.1557,5526231.9357
26,985,20515602.9384,5526192.53528
26,990,20515633.7211,5526153.13486
26,995,20515664.5039,5526113.73444
26,1000,20515695.2866,5526074.33402
26,1005,20515726.0693,5526034.93361
26,1010,20515756.8521,5525995.53319
26,1015,20515787.6348,5525956.13277
26,1020,20515818.4175,5525916.73235
26,1025,20515849.2003,5525877.33193
26,1030,20515879.983,5525837.93151
26,1035,20515910.7657,5525798.53109
26,1040,20515941.5485,5525759.13067
26,1045,20515972.3312,5525719.73025
26,1050,20516003.1139,5525680.32983
26,1055,20516033.8967,5525640.92941
26,1060,20516064.6794,5525601.52899
26,1065,20516095.4621,5525562.12857
26,1070,20516126.2449,5525522.72815
26,1075,20516157.0276,5525483.32773
26,1080,20516187.8103,5525443.92731
26,1085,20516218.5931,5525404.52689
26,1090,20516249.3758,5525365.12647
26,1095,20516280.1585,5525325.72605
26,1100,20516310.9413,5525286.32563
26,1105,20516341.724,5525246.92522
26,1110,20516372.5067,5525207.5248
26,1115,20516403.2895,5525168.12438
26,1120,20516434.0722,5525128.72396
26,1125,20516464.8549,5525089.32354
26,1130,20516495.6377,5525049.92312
26,1135,20516526.4204,5525010.5227
26,1140,20516557.2031,5524971.12228
26,1145,20516587.9858,5524931.72186
26,1150,20516618.7686,5524892.32144
26,1155,20516649.5513,5524852.92102
26,1160,20516680.334,5524813.5206
