PR,PK,Longitude,Latitude
20.0,1410.0,20517749.648996,5522471.876834
18.0,1400.0,20517528.204007,5522429.775337
18.0,1395.0,20517497.791737,5522468.049468
18.0,1390.0,20517467.378093,5522506.879898
18.0,1385.0,20517436.099439,5522546.375056
18.0,1380.0,20517406.046018,5522585.318224
18.0,1375.0,20517375.199543,5522624.926357
18.0,1370.0,20517345.214994,5522665.093575
18.0,1365.0,20517314.370491,5522704.368384
18.0,1360.0,20517283.168532,5522743.086091
18.0,1355.0,20517253.473069,5522783.254746
18.0,1350.0,20517221.910894,5522822.416558
18.0,1345.0,20517190.996956,5522861.469398
18.0,1340.0,20517161.51757,5522901.972929
18.0,1335.0,20517128.091392,5522939.572181
18.0,1330.0,20517099.259255,5522980.41179
18.0,1325.0,20517068.204647,5523019.019982
18.0,1320.0,20517034.921245,5523057.398847
18.0,1315.0,20517007.3133,5523098.242822
18.0,1310.0,20516977.259714,5523139.190451
20.0,1415.0,20517779.55761,5522434.15858
20.0,1420.0,20517809.763606,5522393.66082
22.0,1435.0,20518059.818178,5522399.721213
22.0,1430.0,20518031.560209,5522437.999581
22.0,1425.0,20517999.844619,5522477.71248
22.0,1420.0,20517969.282033,5522516.984507
22.0,1415.0,20517938.358336,5522556.811636
22.0,1405.0,20517876.082887,5522635.797647
22.0,1340.0,20517479.365077,5523148.895401
22.0,1335.0,20517449.892279,5523187.172872
24.0,1390.0,20517940.383393,5522877.483783
24.0,1395.0,20517972.240464,5522837.659771
26.0,1460.0,20518529.155587,5522447.47447
26.0,1465.0,20518559.354897,5522410.540094
24.0,1430.0,20518187.544204,5522562.207744
24.0,1415.0,20518094.775623,5522680.12878
24.0,1420.0,20518125.547292,5522642.860231
24.0,1425.0,20518156.906903,5522602.034598
26.0,1455.0,20518497.721845,5522487.852791
20.0,1390.0,20517625.893404,5522630.301399
26.0,1410.0,20518221.768119,5522844.50462
26.0,1405.0,20518190.781487,5522881.660677
26.0,1400.0,20518161.44342,5522920.713319
26.0,1395.0,20518129.583184,5522961.203571
26.0,1390.0,20518098.519937,5523000.139521
26.0,1385.0,20518068.604347,5523040.191765
26.0,1380.0,20518036.680282,5523078.680276
26.0,1375.0,20518006.33659,5523117.952846
26.0,1370.0,20517975.703753,5523157.780753
26.0,1365.0,20517944.927132,5523197.719581
26.0,1360.0,20517913.363792,5523236.432477
26.0,1355.0,20517883.021879,5523275.705746
26.0,1350.0,20517853.183181,5523315.203307
26.0,1345.0,20517821.763569,5523354.362121
26.0,1340.0,20517791.278389,5523393.857884
26.0,1335.0,20517760.795489,5523432.797696
26.0,1330.0,20517729.51962,5523472.402426
