PR,PK,Longitude,Latitude
6.0,1225.0,20515508.0,5523069.4
6.0,1230.0,20515539.9,5523030.0
6.0,1235.0,20515568.5,5522988.7
6.0,1240.0,20515600.8,5522949.8
6.0,1245.0,20515629.5,5522916.7
6.0,1250.0,20515661.1,5522873.2
6.0,1255.0,20515692.0,5522832.5
6.0,1260.0,20515723.2,5522793.5
6.0,1265.0,20515754.6,5522753.7
6.0,1270.0,20515784.1,5522713.8
6.0,1275.0,20515815.5,5522675.8
6.0,1280.0,20515846.0,5522635.3
6.0,1285.0,20515875.8,5522595.0
6.0,1290.0,20515907.8,5522556.5
6.0,1295.0,20515938.2,5522517.9
6.0,1300.0,20515968.9,5522477.8
6.0,1305.0,20516001.3,5522445.2
8.0,1045.0,20514556.6,5524610.2
8.0,1050.0,20514586.6,5524571.6
8.0,1055.0,20514618.0,5524531.2
8.0,1060.0,20514649.2,5524492.2
8.0,1065.0,20514679.7,5524453.0
8.0,1070.0,20514710.5,5524413.5
8.0,1075.0,20514740.5,5524374.2
8.0,1080.0,20514772.1,5524334.7
8.0,1085.0,20514802.9,5524295.2
8.0,1090.0,20514833.4,5524255.7
8.0,1095.0,20514864.5,5524216.7
8.0,1100.0,20514893.7,5524177.8
8.0,1105.0,20514926.3,5524137.4
8.0,1110.0,20514956.4,5524097.6
8.0,1115.0,20514987.7,5524058.2
8.0,1120.0,20515018.3,5524019.0
8.0,1125.0,20515048.3,5523979.2
8.0,1130.0,20515079.9,5523940.5
8.0,1135.0,20515111.2,5523900.2
8.0,1140.0,20515140.9,5523861.2
8.0,1145.0,20515172.1,5523821.8
8.0,1150.0,20515203.8,5523782.4
8.0,1155.0,20515234.1,5523743.3
8.0,1160.0,20515265.9,5523707.4
8.0,1165.0,20515294.9,5523665.3
8.0,1170.0,20515327.4,5523627.5
8.0,1175.0,20515357.7,5523586.2
8.0,1180.0,20515388.2,5523546.6
8.0,1185.0,20515419.8,5523507.2
8.0,1190.0,20515448.2,5523467.7
8.0,1195.0,20515480.9,5523427.5
8.0,1200.0,20515512.3,5523390.9
8.0,1205.0,20515542.6,5523349.0
8.0,1210.0,20515571.6,5523309.7
8.0,1215.0,20515603.0,5523271.1
8.0,1220.0,20515633.8,5523231.9
8.0,1225.0,20515663.7,5523191.6
8.0,1230.0,20515695.2,5523152.3
8.0,1235.0,20515726.3,5523112.7
8.0,1240.0,20515758.2,5523074.1
8.0,1245.0,20515787.4,5523034.7
8.0,1250.0,20515818.6,5522994.3
8.0,1255.0,20515849.0,5522955.7
8.0,1260.0,20515879.1,5522915.5
8.0,1265.0,20515910.8,5522876.8
8.0,1270.0,20515942.3,5522836.8
8.0,1275.0,20515971.5,5522796.3
8.0,1280.0,20516004.4,5522758.9
8.0,1285.0,20516033.8,5522718.2
8.0,1290.0,20516065.2,5522679.8
8.0,1295.0,20516094.8,5522640.6
8.0,1300.0,20516129.4,5522598.8
8.0,1305.0,20516158.1,5522562.4
