PR,PK,"Resistivity,(Ohm/m)","Polarization,(%)"
200.0,10500.0,229.855186595292,0.335653384262184
200.0,10550.0,252.475809605945,0.237587269283019
200.0,10600.0,201.06017901357,0.278906191928276
200.0,10650.0,185.798132386083,0.655603154583319
200.0,10700.0,166.928030599221,0.618175196491841
200.0,10750.0,146.780138104083,0.645266136087829
200.0,10800.0,161.687551599088,0.504029437736183
200.0,10850.0,172.559335700297,0.616828339150818
200.0,10900.0,249.810274090311,0.663313699699606
200.0,10950.0,260.055921448095,0.690127173596303
200.0,11000.0,240.856807890701,0.627248660672819
200.0,11050.0,178.013699823008,0.580421117605228
200.0,11100.0,162.484988308679,0.595003814111665
200.0,11150.0,181.988867195324,0.549998858155461
200.0,11200.0,216.450909699356,0.580486668838658
200.0,11250.0,236.071049953961,0.642607307673811
200.0,11300.0,237.389836459441,0.644602925965507
200.0,11350.0,210.358073789272,0.627305520495688
200.0,11400.0,199.748464171752,0.554490580256855
200.0,11450.0,209.456072612305,0.605812560901055
200.0,11500.0,184.837795275719,0.581592427699262
200.0,11550.0,164.013709184594,0.53052718424009
200.0,11600.0,141.74177655413,0.496036559720714
200.0,11650.0,106.133196818262,0.405604185584019
200.0,11700.0,123.639465800593,0.58407161796072
200.0,11750.0,116.370457493761,0.553522496929847
200.0,11800.0,121.621305365656,0.534324830380926
200.0,11850.0,120.785089767877,0.4682343119757
200.0,11900.0,144.569624990449,0.528981101088727
200.0,11950.0,198.47462457228,0.703244749285431
200.0,12000.0,204.200709278073,0.817575184349357
200.0,12050.0,137.671295322436,0.724743011026054
200.0,12100.0,103.430614009004,0.442230723019416
200.0,12150.0,110.595430635328,0.424814342538661
200.0,12200.0,102.081264732083,0.138219924085942
200.0,12250.0,95.3581523607776,0.1907772301313
200.0,12300.0,103.249507131673,0.234003793518607
200.0,12350.0,103.430130825358,0.254046000337492
200.0,12400.0,86.0591335614071,0.376934084691222
200.0,12450.0,82.5679305443204,0.378138544325402
200.0,12500.0,142.413335212775,0.459842523832024
200.0,12550.0,146.672722293137,0.472945617092534
200.0,12600.0,120.067563183721,0.459135150046194
200.0,12650.0,91.4465105023922,0.43872479994954
200.0,12700.0,118.170410098929,0.410666107771726
200.0,12750.0,100.233717082148,0.391835610033932
400.0,10500.0,171.131593417823,0.67420661372011
400.0,10550.0,148.116079636406,0.567807150268202
400.0,10600.0,150.300101741076,0.618167861829648
400.0,10650.0,122.655818775491,0.5736073132279
400.0,10700.0,156.774307088402,0.661980184472426
400.0,10750.0,240.723785901549,0.694206215750652
400.0,10800.0,239.941729823645,0.698756945032107
400.0,10850.0,195.545659110167,0.641518563440079
400.0,10900.0,225.594066679801,0.571667122530406
400.0,10950.0,202.495622839373,0.612396129987282
