26.000000,615.000000,20513325.016200,5529108.166330
26.000000,620.000000,20513355.798900,5529068.765910
26.000000,625.000000,20513386.581600,5529029.365490
26.000000,630.000000,20513417.364400,5528989.965070
26.000000,635.000000,20513448.147100,5528950.564650
26.000000,640.000000,20513478.929800,5528911.164230
26.000000,645.000000,20513509.712600,5528871.763810
26.000000,650.000000,20513540.495300,5528832.363390
26.000000,655.000000,20513571.278000,5528792.962970
26.000000,660.000000,20513602.060800,5528753.562550
26.000000,665.000000,20513632.843500,5528714.162130
26.000000,670.000000,20513663.626200,5528674.761710
26.000000,675.000000,20513694.409000,5528635.361300
26.000000,680.000000,20513725.191700,5528595.960880
26.000000,685.000000,20513755.974400,5528556.560460
26.000000,690.000000,20513786.757200,5528517.160040
26.000000,695.000000,20513817.539900,5528477.759620
26.000000,700.000000,20513848.322600,5528438.359200
26.000000,705.000000,20513879.105400,5528398.958780
26.000000,710.000000,20513909.888100,5528359.558360
26.000000,715.000000,20513940.670800,5528320.157940
26.000000,720.000000,20513971.453600,5528280.757520
26.000000,725.000000,20514002.236300,5528241.357100
26.000000,730.000000,20514033.019000,5528201.956680
26.000000,735.000000,20514063.801800,5528162.556260
26.000000,740.000000,20514094.584500,5528123.155840
26.000000,745.000000,20514125.367200,5528083.755420
26.000000,750.000000,20514156.150000,5528044.355000
26.000000,755.000000,20514186.932700,5528004.954580
26.000000,760.000000,20514217.715400,5527965.554160
26.000000,765.000000,20514248.498200,5527926.153740
26.000000,770.000000,20514279.280900,5527886.753320
26.000000,775.000000,20514310.063600,5527847.352900
26.000000,780.000000,20514340.846400,5527807.952480
26.000000,785.000000,20514371.629100,5527768.552060
26.000000,790.000000,20514402.411800,5527729.151640
26.000000,795.000000,20514433.194600,5527689.751230
26.000000,800.000000,20514463.977300,5527650.350810
26.000000,805.000000,20514494.760000,5527610.950390
26.000000,810.000000,20514525.542800,5527571.549970
26.000000,815.000000,20514556.325500,5527532.149550
26.000000,820.000000,20514587.108200,5527492.749130
26.000000,825.000000,20514617.891000,5527453.348710
26.000000,830.000000,20514648.673700,5527413.948290
26.000000,835.000000,20514679.456400,5527374.547870
26.000000,840.000000,20514710.239200,5527335.147450
26.000000,845.000000,20514741.021900,5527295.747030
26.000000,850.000000,20514771.804600,5527256.346610
26.000000,855.000000,20514802.587300,5527216.946190
26.000000,860.000000,20514833.370100,5527177.545770
26.000000,865.000000,20514864.152800,5527138.145350
26.000000,870.000000,20514894.935500,5527098.744930
26.000000,875.000000,20514925.718300,5527059.344510
26.000000,880.000000,20514956.501000,5527019.944090
26.000000,885.000000,20514987.283700,5526980.543670
26.000000,890.000000,20515018.066500,5526941.143250
26.000000,895.000000,20515048.849200,5526901.742830
26.000000,900.000000,20515079.631900,5526862.342410
26.000000,905.000000,20515110.414700,5526822.942000
26.000000,910.000000,20515141.197400,5526783.541580
26.000000,915.000000,20515171.980100,5526744.141160
26.000000,920.000000,20515202.762900,5526704.740740
26.000000,925.000000,20515233.545600,5526665.340320
26.000000,930.000000,20515264.328300,5526625.939900
26.000000,935.000000,20515295.111100,5526586.539480
26.000000,940.000000,20515325.893800,5526547.139060
26.000000,945.000000,20515356.676500,5526507.738640
26.000000,950.000000,20515387.459300,5526468.338220
26.000000,955.000000,20515418.242000,5526428.937800
26.000000,960.000000,20515449.024700,5526389.537380
26.000000,965.000000,20515479.807500,5526350.136960
26.000000,970.000000,20515510.590200,5526310.736540
26.000000,975.000000,20515541.372900,5526271.336120
26.000000,980.000000,20515572.155700,5526231.935700
26.000000,985.000000,20515602.938400,5526192.535280
26.000000,990.000000,20515633.721100,5526153.134860
26.000000,995.000000,20515664.503900,5526113.734440
26.000000,1000.000000,20515695.286600,5526074.334020
26.000000,1005.000000,20515726.069300,5526034.933610
26.000000,1010.000000,20515756.852100,5525995.533190
26.000000,1015.000000,20515787.634800,5525956.132770
26.000000,1020.000000,20515818.417500,5525916.732350
26.000000,1025.000000,20515849.200300,5525877.331930
26.000000,1030.000000,20515879.983000,5525837.931510
26.000000,1035.000000,20515910.765700,5525798.531090
26.000000,1040.000000,20515941.548500,5525759.130670
26.000000,1045.000000,20515972.331200,5525719.730250
26.000000,1050.000000,20516003.113900,5525680.329830
26.000000,1055.000000,20516033.896700,5525640.929410
26.000000,1060.000000,20516064.679400,5525601.528990
26.000000,1065.000000,20516095.462100,5525562.128570
26.000000,1070.000000,20516126.244900,5525522.728150
26.000000,1075.000000,20516157.027600,5525483.327730
26.000000,1080.000000,20516187.810300,5525443.927310
26.000000,1085.000000,20516218.593100,5525404.526890
26.000000,1090.000000,20516249.375800,5525365.126470
26.000000,1095.000000,20516280.158500,5525325.726050
26.000000,1100.000000,20516310.941300,5525286.325630
26.000000,1105.000000,20516341.724000,5525246.925220
26.000000,1110.000000,20516372.506700,5525207.524800
26.000000,1115.000000,20516403.289500,5525168.124380
26.000000,1120.000000,20516434.072200,5525128.723960
26.000000,1125.000000,20516464.854900,5525089.323540
26.000000,1130.000000,20516495.637700,5525049.923120
26.000000,1135.000000,20516526.420400,5525010.522700
26.000000,1140.000000,20516557.203100,5524971.122280
26.000000,1145.000000,20516587.985800,5524931.721860
26.000000,1150.000000,20516618.768600,5524892.321440
26.000000,1155.000000,20516649.551300,5524852.921020
26.000000,1160.000000,20516680.334000,5524813.520600
26.000000,1165.000000,20516711.116800,5524774.120180
26.000000,1170.000000,20516741.899500,5524734.719760
26.000000,1175.000000,20516772.682200,5524695.319340
26.000000,1180.000000,20516803.465000,5524655.918920
26.000000,1185.000000,20516834.247700,5524616.518500
